#leave the following line; indicates category name
biosyn

#updated on 01-09-2019
PF13183 4Fe-4S dicluster domain
PF18130 ATP-grasp N-terminal domain
PF13535 ATP-grasp domain
PF14518 Iron-containing redox enzyme
PF00708 Acylphosphatase
PF04954 Siderophore-interacting protein
PF08021 Siderophore-interacting FAD-binding domain
PF12697 Alpha/beta hydrolase family
PF13561 Enoyl-(Acyl carrier protein) reductase
PF12710 haloacid dehalogenase-like hydrolase
PF13581 Histidine kinase-like ATPase domain
PF16896 Phosphogluconate dehydrogenase (decarboxylating) C-term

#Removed:
# PF00753	Metallo-beta-lactamase superfamily
# PF00652	Ricin-type beta-trefoil lectin domain
# PF00403	Heavy-metal-associated domain
# PF07993	Male sterility protein
# PF00013	KH domain
# PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
# PF00027	Cyclic nucleotide-binding domain

# updates on 23_01_2019
TIGR00381	CO dehydrogenase/acetyl-CoA synthase, delta subunit
TIGR00388	glycine--tRNA ligase, alpha subunit
TIGR00389	glycine--tRNA ligase
TIGR00392	isoleucine--tRNA ligase
TIGR00394	PTS system, lactose-specific IIC component
TIGR00395	leucine--tRNA ligase
TIGR00396	leucine--tRNA ligase
TIGR00398	methionine--tRNA ligase
TIGR00399	methionine--tRNA ligase, beta subunit
TIGR00401	peptide-methionine (S)-S-oxide reductase
TIGR00403	NADH-plastoquinone oxidoreductase, I subunit
TIGR00406	ribosomal protein L11 methyltransferase
TIGR00407	glutamate-5-semialdehyde dehydrogenase
TIGR00408	proline--tRNA ligase
TIGR00409	proline--tRNA ligase
TIGR00410	PTS system, lactose/cellobiose family IIC component
TIGR00414	serine--tRNA ligase
TIGR00415	serine--tRNA ligase
TIGR00417	spermidine synthase
TIGR00418	threonine--tRNA ligase
TIGR00419	triose-phosphate isomerase
TIGR00420	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
TIGR00421	polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases
TIGR00422	valine--tRNA ligase
TIGR00425	putative rRNA pseudouridine synthase
TIGR00430	tRNA-guanine transglycosylase
TIGR00431	tRNA pseudouridine(55) synthase
TIGR00432	tRNA-guanine(15) transglycosylase
TIGR00433	biotin synthase
TIGR00434	phosophoadenylyl-sulfate reductase
TIGR00435	cysteine--tRNA ligase
TIGR00438	ribosomal RNA large subunit methyltransferase J
TIGR00440	glutamine--tRNA ligase
TIGR00441	phosphoheptose isomerase
TIGR00442	histidine--tRNA ligase
TIGR00445	phospho-N-acetylmuramoyl-pentapeptide-transferase
TIGR00446	NOL1/NOP2/sun family putative RNA methylase
TIGR00447	aminoacyl-tRNA hydrolase
TIGR00449	tRNA-guanine family transglycosylase
TIGR00450	tRNA modification GTPase TrmE
TIGR00452	tRNA (mo5U34)-methyltransferase
TIGR00453	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
TIGR00455	adenylyl-sulfate kinase
TIGR00456	arginine--tRNA ligase
TIGR00457	asparagine--tRNA ligase
TIGR00458	aspartate--tRNA(Asn) ligase
TIGR00459	aspartate--tRNA ligase
TIGR00460	methionyl-tRNA formyltransferase
TIGR00461	glycine dehydrogenase
TIGR00463	glutamate--tRNA ligase
TIGR00464	glutamate--tRNA ligase
TIGR00465	ketol-acid reductoisomerase
TIGR00466	3-deoxy-D-manno-octulosonate cytidylyltransferase
TIGR00467	lysine--tRNA ligase
TIGR00468	phenylalanine--tRNA ligase, alpha subunit
TIGR00469	phenylalanine--tRNA ligase
TIGR00470	O-phosphoserine--tRNA ligase
TIGR00471	phenylalanine--tRNA ligase, beta subunit
TIGR00472	phenylalanine--tRNA ligase, beta subunit
TIGR00473	CDP-diacylglycerol-serine O-phosphatidyltransferase
TIGR00474	L-seryl-tRNA(Sec) selenium transferase
TIGR00476	selenide, water dikinase
TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
TIGR00482	nicotinate (nicotinamide) nucleotide adenylyltransferase
TIGR00492	alanine racemase
TIGR00493	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
TIGR00497	type I restriction-modification system, M subunit
TIGR00498	repressor LexA
TIGR00499	lysine--tRNA ligase
TIGR00500	methionine aminopeptidase, type I
TIGR00501	methionine aminopeptidase, type II
TIGR00502	glucosamine-6-phosphate deaminase
TIGR00504	pyroglutamyl-peptidase I
TIGR00505	GTP cyclohydrolase II
TIGR00506	3,4-dihydroxy-2-butanone-4-phosphate synthase
TIGR00507	shikimate dehydrogenase
TIGR00508	adenosylmethionine-8-amino-7-oxononanoate transaminase
TIGR00510	lipoyl synthase
TIGR00511	ribose-1,5-bisphosphate isomerase, e2b2 family
TIGR00512	S-methyl-5-thioribose-1-phosphate isomerase
TIGR00513	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit
TIGR00514	acetyl-CoA carboxylase, biotin carboxylase subunit
TIGR00515	acetyl-CoA carboxylase, carboxyl transferase, beta subunit
TIGR00516	holo-[acyl-carrier-protein] synthase
TIGR00518	alanine dehydrogenase
TIGR00519	L-asparaginase, type I
TIGR00520	L-asparaginase, type II
TIGR00521	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase
TIGR00522	diphthine synthase
TIGR00525	dihydroneopterin aldolase
TIGR00528	glycine cleavage system T protein
TIGR00530	1-acylglycerol-3-phosphate O-acyltransferases
TIGR00532	hydroxymethylglutaryl-CoA reductase, degradative
TIGR00533	hydroxymethylglutaryl-CoA reductase (NADPH)
TIGR00535	S-adenosylmethionine decarboxylase proenzyme
TIGR00538	oxygen-independent coproporphyrinogen III oxidase
TIGR00539	putative oxygen-independent coproporphyrinogen III oxidase
TIGR00541	histidine decarboxylase, pyruvoyl type
TIGR00543	isochorismate synthase
TIGR00544	prolipoprotein diacylglyceryl transferase
TIGR00546	apolipoprotein N-acyltransferase
TIGR00549	mevalonate kinase
TIGR00550	quinolinate synthetase complex, A subunit
TIGR00551	L-aspartate oxidase
TIGR00552	NAD+ synthetase
TIGR00553	aminodeoxychorismate synthase, component I
TIGR00554	pantothenate kinase
TIGR00555	pantothenate kinase
TIGR00557	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
TIGR00558	pyridoxamine 5'-phosphate oxidase
TIGR00559	pyridoxine 5'-phosphate synthase
TIGR00560	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
TIGR00561	NAD(P)(+) transhydrogenase (AB-specific), alpha subunit
TIGR00562	protoporphyrinogen oxidase
TIGR00563	16S rRNA (cytosine(967)-C(5))-methyltransferase
TIGR00564	anthranilate synthase component I
TIGR00565	anthranilate synthase component I
TIGR00567	DNA-3-methyladenine glycosylase
TIGR00571	DNA adenine methylase
TIGR00574	DNA ligase I, ATP-dependent (dnl1)
TIGR00575	DNA ligase, NAD-dependent
TIGR00576	dUTP diphosphatase
TIGR00577	DNA-formamidopyrimidine glycosylase
TIGR00584	mismatch-specific thymine-DNA glycosylate (mug)
TIGR00586	mutator mutT protein
TIGR00588	8-oxoguanine DNA-glycosylase (ogg)
TIGR00589	methylated-DNA--[protein]-cysteine S-methyltransferase
TIGR00591	deoxyribodipyrimidine photolyase
TIGR00595	primosomal protein N'
TIGR00609	exodeoxyribonuclease V, beta subunit
TIGR00612	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
TIGR00624	DNA-3-methyladenine glycosylase I
TIGR00628	uracil-DNA glycosylase
TIGR00629	UV damage endonuclease UvdE
TIGR00630	excinuclease ABC subunit A
TIGR00631	excinuclease ABC subunit B
TIGR00632	DNA mismatch endonuclease Vsr
TIGR00633	exodeoxyribonuclease III (xth)
TIGR00636	ATP:cob(I)alamin adenosyltransferase
TIGR00639	phosphoribosylglycinamide formyltransferase
TIGR00641	methylmalonyl-CoA mutase N-terminal domain
TIGR00642	methylmalonyl-CoA mutase, small subunit
TIGR00644	single-stranded-DNA-specific exonuclease RecJ
TIGR00648	recombination protein U
TIGR00649	beta-CASP ribonuclease, RNase J family
TIGR00651	phosphate acetyltransferase
TIGR00652	diaminopimelate epimerase
TIGR00653	glutamine synthetase, type I
TIGR00655	formyltetrahydrofolate deformylase
TIGR00656	aspartate kinase, monofunctional class
TIGR00657	aspartate kinase
TIGR00658	ornithine carbamoyltransferase
TIGR00666	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
TIGR00667	leucyl/phenylalanyl-tRNA--protein transferase
TIGR00668	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
TIGR00669	aspartate--ammonia ligase
TIGR00670	aspartate carbamoyltransferase
TIGR00671	pantothenate kinase, type III
TIGR00672	CDP-diacylglycerol diphosphatase
TIGR00673	cyanase
TIGR00674	4-hydroxy-tetrahydrodipicolinate synthase
TIGR00676	methylenetetrahydrofolate reductase [NAD(P)H]
TIGR00677	methylenetetrahydrofolate reductase
TIGR00679	HPr(Ser) kinase/phosphatase
TIGR00680	K+-transporting ATPase, A subunit
TIGR00681	K+-transporting ATPase, C subunit
TIGR00682	tetraacyldisaccharide 4'-kinase
TIGR00683	N-acetylneuraminate lyase
TIGR00685	trehalose-phosphatase
TIGR00687	pyridoxal kinase
TIGR00689	sugar-phosphate isomerase, RpiB/LacA/LacB family
TIGR00692	L-threonine 3-dehydrogenase
TIGR00693	thiamine-phosphate diphosphorylase
TIGR00694	hydroxyethylthiazole kinase
TIGR00695	mannonate dehydratase
TIGR00696	glycosyltransferase, WecB/TagA/CpsF family
TIGR00699	4-aminobutyrate aminotransferase
TIGR00700	4-aminobutyrate transaminase
TIGR00705	signal peptide peptidase SppA, 67K type
TIGR00706	signal peptide peptidase SppA, 36K type
TIGR00708	cob(I)yrinic acid a,c-diamide adenosyltransferase
TIGR00709	2,4-diaminobutyrate 4-transaminase
TIGR00713	glutamate-1-semialdehyde-2,1-aminomutase
TIGR00715	precorrin-6x reductase
TIGR00716	ribonuclease HIII
TIGR00718	L-serine dehydratase, iron-sulfur-dependent, alpha subunit
TIGR00719	L-serine dehydratase, iron-sulfur-dependent, beta subunit
TIGR00720	L-serine ammonia-lyase
TIGR00729	ribonuclease HII
TIGR00740	tRNA (cmo5U34)-methyltransferase
TIGR00742	tRNA dihydrouridine synthase A
TIGR00745	2-dehydropantoate 2-reductase
TIGR00746	carbamate kinase
TIGR00747	3-oxoacyl-[acyl-carrier-protein] synthase III
TIGR00748	putative hydroxymethylglutaryl-CoA synthase
TIGR00749	glucokinase
TIGR00750	LAO/AO transport system ATPase
TIGR00751	1,4-dihydroxy-2-naphthoate octaprenyltransferase
TIGR00753	undecaprenyl-diphosphatase UppP
TIGR00755	ribosomal RNA small subunit methyltransferase A
TIGR00757	ribonuclease, Rne/Rng family
TIGR00758	uracil-DNA glycosylase, family 4
TIGR00759	pyruvate dehydrogenase (acetyl-transferring), homodimeric type
TIGR00760	L-ribulose-5-phosphate 4-epimerase
TIGR00761	acetylglutamate kinase
TIGR00763	endopeptidase La
TIGR00767	transcription termination factor Rho
TIGR00768	alpha-L-glutamate ligase, RimK family
TIGR00777	alkylhydroperoxidase, AhpD family
TIGR00780	cytochrome c oxidase, cbb3-type, subunit I
TIGR00781	cytochrome c oxidase, cbb3-type, subunit II
TIGR00782	cytochrome c oxidase, cbb3-type, subunit III
TIGR00821	PTS system, glucitol/sorbitol-specific, IIC component
TIGR00823	PTS system, lactose-specific IIa component
TIGR00824	PTS system, mannose/fructose/sorbose family, IIA component
TIGR00826	PTS system, glucose-like IIB component
TIGR00829	PTS system, Fru family, IIB component
TIGR00838	argininosuccinate lyase
TIGR00839	aspartate ammonia-lyase
TIGR00848	PTS system, fructose subfamily, IIA component
TIGR00849	PTS system, glucitol/sorbitol-specific IIA component
TIGR00851	PTS system, mannitol-specific IIC component
TIGR00854	PTS system, mannose/fructose/sorbose family, IIB component
TIGR00856	dihydroorotase, homodimeric type
TIGR00857	dihydroorotase, multifunctional complex type
TIGR00858	8-amino-7-oxononanoate synthase
TIGR00871	glucose-6-phosphate dehydrogenase
TIGR00872	6-phosphogluconate dehydrogenase (decarboxylating)
TIGR00873	6-phosphogluconate dehydrogenase (decarboxylating)
TIGR00874	transaldolase
TIGR00875	fructose-6-phosphate aldolase
TIGR00876	transaldolase
TIGR00877	phosphoribosylamine--glycine ligase
TIGR00878	phosphoribosylformylglycinamidine cyclo-ligase
TIGR00884	GMP synthase (glutamine-hydrolyzing), C-terminal domain
TIGR00888	GMP synthase (glutamine-hydrolyzing), N-terminal domain
TIGR00928	adenylosuccinate lyase
TIGR00936	adenosylhomocysteinase
TIGR00938	homoserine kinase
TIGR00962	ATP synthase F1, alpha subunit
TIGR00965	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR00968	sulfate ABC transporter, ATP-binding protein
TIGR00970	2-isopropylmalate synthase
TIGR00972	phosphate ABC transporter, ATP-binding protein
TIGR00973	2-isopropylmalate synthase
TIGR00977	citramalate synthase
TIGR00978	aspartate-semialdehyde dehydrogenase
TIGR00979	fumarate hydratase, class II
TIGR01001	homoserine O-succinyltransferase
TIGR01015	homogentisate 1,2-dioxygenase
TIGR01016	succinate-CoA ligase, beta subunit
TIGR01019	succinate-CoA ligase, alpha subunit
TIGR01026	ATPase, FliI/YscN family
TIGR01027	glutamate 5-kinase
TIGR01034	methionine adenosyltransferase
TIGR01035	glutamyl-tRNA reductase
TIGR01036	dihydroorotate dehydrogenase (fumarate)
TIGR01037	dihydroorotate dehydrogenase family protein
TIGR01039	ATP synthase F1, beta subunit
TIGR01040	V-type ATPase, B subunit
TIGR01041	ATP synthase archaeal, B subunit
TIGR01042	V-type ATPase, A subunit
TIGR01043	ATP synthase archaeal, A subunit
TIGR01048	diaminopimelate decarboxylase
TIGR01060	phosphopyruvate hydratase
TIGR01064	pyruvate kinase
TIGR01072	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
TIGR01076	sortase
TIGR01078	arginine deiminase
TIGR01082	UDP-N-acetylmuramate--L-alanine ligase
TIGR01083	endonuclease III
TIGR01084	A/G-specific adenine glycosylase
TIGR01086	L-fuculose phosphate aldolase
TIGR01087	UDP-N-acetylmuramoylalanine--D-glutamate ligase
TIGR01088	3-dehydroquinate dehydratase, type II
TIGR01089	L-fucose isomerase
TIGR01090	adenine phosphoribosyltransferase
TIGR01091	uracil phosphoribosyltransferase
TIGR01093	3-dehydroquinate dehydratase, type I
TIGR01099	UTP--glucose-1-phosphate uridylyltransferase
TIGR01100	V-type ATPase, C subunit
TIGR01101	V-type ATPase, F subunit
TIGR01104	V-type H(+)-translocating pyrophosphatase
TIGR01106	Na,H/K antiporter P-type ATPase, alpha subunit
TIGR01107	Na+/K+ ATPase, beta subunit
TIGR01108	oxaloacetate decarboxylase alpha subunit
TIGR01111	tetrahydromethanopterin S-methyltransferase, subunit A
TIGR01112	tetrahydromethanopterin S-methyltransferase, subunit D
TIGR01113	tetrahydromethanopterin S-methyltransferase, subunit E
TIGR01114	N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit H
TIGR01116	calcium-translocating P-type ATPase, SERCA-type
TIGR01117	methylmalonyl-CoA decarboxylase alpha subunit
TIGR01118	galactose-6-phosphate isomerase, LacA subunit
TIGR01119	galactose-6-phosphate isomerase, LacB subunit
TIGR01120	ribose 5-phosphate isomerase B
TIGR01121	D-amino-acid transaminase
TIGR01122	branched-chain amino acid aminotransferase
TIGR01123	branched-chain amino acid aminotransferase
TIGR01124	threonine ammonia-lyase, biosynthetic
TIGR01125	ribosomal protein S12 methylthiotransferase RimO
TIGR01127	threonine ammonia-lyase
TIGR01131	ATP synthase F0, A subunit
TIGR01132	phosphoglucomutase, alpha-D-glucose phosphate-specific
TIGR01133	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
TIGR01134	amidophosphoribosyltransferase
TIGR01135	glutamine-fructose-6-phosphate transaminase (isomerizing)
TIGR01136	cysteine synthase
TIGR01137	cystathionine beta-synthase
TIGR01138	cysteine synthase B
TIGR01139	cysteine synthase A
TIGR01140	threonine-phosphate decarboxylase
TIGR01141	histidinol-phosphate transaminase
TIGR01142	phosphoribosylglycinamide formyltransferase 2
TIGR01143	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
TIGR01147	V-type ATPase, G subunit
TIGR01148	tetrahydromethanopterin S-methyltransferase, subunit C
TIGR01149	tetrahydromethanopterin S-methyltransferase, subunit G
TIGR01151	photosystem II q(b) protein
TIGR01156	cytb6/f complex subunit IV
TIGR01161	phosphoribosylaminoimidazole carboxylase, ATPase subunit
TIGR01162	phosphoribosylaminoimidazole carboxylase, catalytic subunit
TIGR01163	ribulose-phosphate 3-epimerase
TIGR01172	serine O-acetyltransferase
TIGR01173	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR01176	fumarate reductase (quinol), flavoprotein subunit
TIGR01178	adenine deaminase
TIGR01179	UDP-glucose 4-epimerase GalE
TIGR01181	dTDP-glucose 4,6-dehydratase
TIGR01182	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase
TIGR01187	polyamine ABC transporter, ATP-binding protein
TIGR01189	heme ABC exporter, ATP-binding protein CcmA
TIGR01192	glucan exporter ATP-binding protein
TIGR01196	phosphogluconate dehydratase
TIGR01198	6-phosphogluconolactonase
TIGR01203	hypoxanthine phosphoribosyltransferase
TIGR01204	6-carboxyhexanoate--CoA ligase
TIGR01205	D-alanine--D-alanine ligase
TIGR01207	glucose-1-phosphate thymidylyltransferase
TIGR01208	glucose-1-phosphate thymidylyltransferase
TIGR01211	radical SAM enzyme/protein acetyltransferase, ELP3 family
TIGR01213	tRNA pseudouridine(54/55) synthase
TIGR01214	dTDP-4-dehydrorhamnose reductase
TIGR01216	ATP synthase F1, epsilon subunit
TIGR01217	acetoacetate-CoA ligase
TIGR01219	phosphomevalonate kinase
TIGR01220	phosphomevalonate kinase
TIGR01221	dTDP-4-dehydrorhamnose 3,5-epimerase
TIGR01223	phosphomevalonate kinase
TIGR01224	imidazolonepropionase
TIGR01225	histidine ammonia-lyase
TIGR01226	phenylalanine ammonia-lyase
TIGR01227	formimidoylglutamase
TIGR01228	urocanate hydratase
TIGR01229	arginase
TIGR01230	agmatinase
TIGR01231	tagatose-6-phosphate kinase
TIGR01232	tagatose 1,6-diphosphate aldolase
TIGR01233	6-phospho-beta-galactosidase
TIGR01234	ribulokinase
TIGR01235	pyruvate carboxylase
TIGR01236	1-pyrroline-5-carboxylate dehydrogenase
TIGR01237	putative delta-1-pyrroline-5-carboxylate dehydrogenase
TIGR01238	delta-1-pyrroline-5-carboxylate dehydrogenase
TIGR01239	galactose-1-phosphate uridylyltransferase
TIGR01240	diphosphomevalonate decarboxylase
TIGR01241	ATP-dependent metallopeptidase HflB
TIGR01245	anthranilate phosphoribosyltransferase
TIGR01246	succinyl-diaminopimelate desuccinylase
TIGR01249	prolyl aminopeptidase
TIGR01251	ribose-phosphate diphosphokinase
TIGR01252	alpha-acetolactate decarboxylase
TIGR01255	formate acetyltransferase
TIGR01260	ATP synthase F0, C subunit
TIGR01261	histidinol-phosphatase
TIGR01262	maleylacetoacetate isomerase
TIGR01263	4-hydroxyphenylpyruvate dioxygenase
TIGR01264	tyrosine aminotransferase
TIGR01266	fumarylacetoacetase
TIGR01267	phenylalanine-4-hydroxylase
TIGR01268	phenylalanine-4-hydroxylase
TIGR01269	tyrosine 3-monooxygenase
TIGR01270	tryptophan 5-monooxygenase
TIGR01271	cystic fibrosis transmembrane conductor regulator (CFTR)
TIGR01273	arginine decarboxylase
TIGR01274	1-aminocyclopropane-1-carboxylate deaminase
TIGR01277	thiamine ABC transporter, ATP-binding protein
TIGR01278	light-independent protochlorophyllide reductase, B subunit
TIGR01279	light-independent protochlorophyllide reductase, N subunit
TIGR01280	exodeoxyribonuclease VII, small subunit
TIGR01281	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein
TIGR01282	nitrogenase molybdenum-iron protein alpha chain
TIGR01284	nitrogenase alpha chain
TIGR01286	nitrogenase molybdenum-iron protein beta chain
TIGR01287	nitrogenase iron protein
TIGR01289	light-dependent protochlorophyllide reductase
TIGR01292	thioredoxin-disulfide reductase
TIGR01296	aspartate-semialdehyde dehydrogenase
TIGR01298	ribonuclease T
TIGR01302	inosine-5'-monophosphate dehydrogenase
TIGR01305	guanosine monophosphate reductase
TIGR01306	guanosine monophosphate reductase
TIGR01307	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)
